id_produto,loja,data,quantidade_estoque
31,Loja 1,2024-10-28,109
15,Loja 3,2024-12-19,35
56,Loja 5,2024-10-09,64
38,Loja 1,2024-10-06,74
30,Loja 5,2024-12-13,344
43,Loja 4,2024-09-28,288
18,Loja 1,2024-11-04,396
29,Loja 4,2024-11-02,161
26,Loja 2,2024-11-30,667
20,Loja 2,2024-10-05,845
25,Loja 6,2024-12-01,287
60,Loja 3,2024-09-03,234
56,Loja 1,2024-11-05,135
34,Loja 2,2024-11-14,181
53,Loja 6,2024-10-01,250
41,Loja 1,2024-09-08,379
59,Loja 1,2024-11-04,54
10,Loja 4,2024-12-27,388
13,Loja 4,2024-12-23,210
53,Loja 1,2024-10-30,134
15,Loja 5,2024-12-25,364
22,Loja 1,2024-11-25,28
4,Loja 5,2024-10-18,167
23,Loja 1,2024-12-25,8
13,Loja 4,2024-09-24,517
5,Loja 5,2024-11-21,164
6,Loja 3,2024-12-09,246
6,Loja 4,2024-10-14,100
14,Loja 3,2024-10-21,495
39,Loja 4,2024-11-30,120
38,Loja 1,2024-09-15,111
55,Loja 1,2024-10-04,507
18,Loja 3,2024-09-08,354
47,Loja 3,2024-12-15,455
50,Loja 1,2024-09-18,268
12,Loja 2,2024-11-22,73
36,Loja 1,2024-10-06,154
7,Loja 1,2024-11-03,61
46,Loja 2,2024-12-05,123
30,Loja 3,2024-11-03,675
59,Loja 1,2024-12-20,47
21,Loja 2,2024-10-17,244
56,Loja 6,2024-12-17,87
21,Loja 3,2024-11-28,133
8,Loja 4,2024-12-12,474
55,Loja 5,2024-12-18,248
60,Loja 2,2024-11-02,91
6,Loja 3,2024-09-28,256
18,Loja 3,2024-10-23,225
30,Loja 6,2024-10-29,107
41,Loja 2,2024-10-06,534
60,Loja 2,2024-12-05,57
11,Loja 5,2024-09-11,413
2,Loja 1,2024-09-24,244
1,Loja 6,2024-09-26,232
27,Loja 3,2024-11-24,188
32,Loja 2,2024-09-20,130
41,Loja 6,2024-10-15,340
37,Loja 6,2024-11-29,188
54,Loja 2,2024-12-28,75
49,Loja 4,2024-09-12,655
60,Loja 1,2024-10-08,197
39,Loja 5,2024-10-12,270
30,Loja 5,2024-09-15,290
33,Loja 5,2024-12-25,49
7,Loja 3,2024-10-01,447
5,Loja 5,2024-11-22,167
38,Loja 3,2024-10-15,589
11,Loja 1,2024-11-08,138
17,Loja 1,2024-11-24,354
8,Loja 1,2024-10-17,432
11,Loja 6,2024-09-12,87
39,Loja 4,2024-09-03,358
25,Loja 2,2024-09-08,255
56,Loja 2,2024-11-28,324
17,Loja 6,2024-12-15,117
54,Loja 3,2024-09-30,178
24,Loja 6,2024-10-06,222
34,Loja 4,2024-09-11,406
50,Loja 3,2024-09-03,259
49,Loja 1,2024-12-06,311
51,Loja 4,2024-10-09,133
41,Loja 2,2024-09-15,827
53,Loja 6,2024-10-06,244
44,Loja 1,2024-12-20,66
52,Loja 6,2024-10-05,541
42,Loja 6,2024-10-01,181
14,Loja 1,2024-11-13,69
50,Loja 4,2024-10-06,294
47,Loja 4,2024-10-22,303
13,Loja 3,2024-11-30,314
35,Loja 5,2024-09-30,293
38,Loja 3,2024-10-18,589
57,Loja 5,2024-09-15,288
31,Loja 5,2024-12-17,277
26,Loja 1,2024-12-10,176
18,Loja 5,2024-09-11,575
5,Loja 4,2024-12-15,168
37,Loja 5,2024-10-23,478
27,Loja 4,2024-09-23,792
59,Loja 2,2024-10-02,583
36,Loja 2,2024-12-03,163
37,Loja 2,2024-12-06,78
60,Loja 5,2024-11-27,26
59,Loja 5,2024-10-16,559
51,Loja 4,2024-09-29,125
45,Loja 4,2024-12-04,66
18,Loja 6,2024-11-25,52
21,Loja 2,2024-09-18,250
59,Loja 3,2024-09-16,663
28,Loja 2,2024-12-13,64
18,Loja 1,2024-09-26,473
6,Loja 2,2024-12-29,108
52,Loja 4,2024-10-08,269
19,Loja 3,2024-09-19,446
11,Loja 2,2024-12-05,202
43,Loja 2,2024-10-06,116
13,Loja 1,2024-12-10,129
17,Loja 4,2024-10-16,250
8,Loja 1,2024-11-15,296
51,Loja 6,2024-11-26,62
50,Loja 6,2024-09-06,530
37,Loja 5,2024-10-19,422
58,Loja 4,2024-10-16,551
19,Loja 4,2024-11-26,170
7,Loja 4,2024-10-07,130
19,Loja 6,2024-10-20,130
57,Loja 4,2024-09-27,263
23,Loja 2,2024-09-20,84
17,Loja 4,2024-11-11,62
3,Loja 3,2024-09-24,600
38,Loja 4,2024-10-25,391
28,Loja 1,2024-11-10,295
41,Loja 3,2024-09-26,369
55,Loja 3,2024-12-12,82
19,Loja 3,2024-09-25,428
12,Loja 2,2024-09-03,132
57,Loja 1,2024-11-11,515
17,Loja 1,2024-12-06,504
24,Loja 5,2024-09-24,886
38,Loja 2,2024-09-10,527
53,Loja 1,2024-12-31,165
50,Loja 1,2024-11-29,134
4,Loja 1,2024-10-28,146
45,Loja 3,2024-11-07,843
27,Loja 1,2024-12-21,385
13,Loja 6,2024-09-24,182
8,Loja 1,2024-10-23,428
54,Loja 4,2024-10-31,500
45,Loja 6,2024-10-04,549
38,Loja 4,2024-10-18,457
11,Loja 6,2024-10-18,54
9,Loja 4,2024-11-09,254
54,Loja 3,2024-10-02,201
36,Loja 6,2024-11-18,53
59,Loja 6,2024-11-01,319
31,Loja 2,2024-11-23,1677
27,Loja 3,2024-10-19,299
40,Loja 4,2024-10-02,97
25,Loja 5,2024-09-02,178
58,Loja 5,2024-09-12,406
25,Loja 1,2024-10-18,169
32,Loja 1,2024-11-26,753
54,Loja 5,2024-09-22,815
43,Loja 4,2024-12-30,221
9,Loja 4,2024-09-21,373
45,Loja 2,2024-11-23,221
39,Loja 5,2024-11-25,134
46,Loja 4,2024-12-25,324
7,Loja 6,2024-11-17,712
42,Loja 1,2024-11-06,148
1,Loja 1,2024-11-02,198
31,Loja 6,2024-10-17,70
1,Loja 2,2024-12-28,212
37,Loja 5,2024-12-20,293
20,Loja 2,2024-10-26,599
54,Loja 1,2024-11-27,459
24,Loja 2,2024-09-29,310
50,Loja 1,2024-10-25,136
56,Loja 2,2024-09-12,161
20,Loja 1,2024-11-21,638
41,Loja 3,2024-10-29,105
12,Loja 2,2024-12-22,26
42,Loja 4,2024-09-25,63
20,Loja 1,2024-11-06,380
42,Loja 2,2024-11-04,211
55,Loja 2,2024-09-08,258
22,Loja 5,2024-11-24,144
28,Loja 5,2024-11-22,186
8,Loja 3,2024-09-03,202
9,Loja 5,2024-09-07,438
23,Loja 1,2024-11-15,18
35,Loja 2,2024-12-31,138
49,Loja 5,2024-11-22,168
53,Loja 1,2024-10-11,164
25,Loja 4,2024-09-05,365
33,Loja 3,2024-10-23,181
27,Loja 5,2024-10-21,162
54,Loja 1,2024-12-22,831
57,Loja 3,2024-10-07,172
7,Loja 6,2024-09-03,418
36,Loja 4,2024-09-19,167
55,Loja 6,2024-11-01,156
10,Loja 4,2024-12-31,234
50,Loja 6,2024-10-11,223
36,Loja 2,2024-12-27,85
1,Loja 4,2024-09-16,262
25,Loja 1,2024-12-03,114
30,Loja 5,2024-11-09,313
58,Loja 4,2024-11-10,973
24,Loja 1,2024-10-28,226
15,Loja 5,2024-12-22,308
36,Loja 5,2024-10-14,98
4,Loja 1,2024-10-31,123
12,Loja 2,2024-12-06,59
53,Loja 1,2024-12-25,132
56,Loja 1,2024-12-24,196
34,Loja 4,2024-09-28,433
25,Loja 6,2024-12-21,602
34,Loja 6,2024-12-01,658
16,Loja 1,2024-12-31,66
12,Loja 6,2024-12-01,471
24,Loja 5,2024-12-16,306
15,Loja 3,2024-11-04,275
25,Loja 3,2024-10-27,251
19,Loja 5,2024-10-20,386
41,Loja 2,2024-11-18,240
25,Loja 1,2024-12-25,92
9,Loja 5,2024-11-28,178
51,Loja 3,2024-10-15,1024
47,Loja 2,2024-11-25,601
13,Loja 3,2024-12-17,155
24,Loja 2,2024-10-28,174
56,Loja 4,2024-12-17,608
1,Loja 4,2024-10-28,163
40,Loja 1,2024-12-02,340
49,Loja 5,2024-09-09,206
35,Loja 6,2024-10-06,62
1,Loja 6,2024-11-21,93
54,Loja 6,2024-09-19,394
17,Loja 6,2024-11-29,103
16,Loja 3,2024-09-20,270
36,Loja 5,2024-10-05,69
60,Loja 4,2024-10-14,532
46,Loja 6,2024-12-17,1627
22,Loja 1,2024-09-22,70
22,Loja 6,2024-10-25,41
26,Loja 3,2024-11-29,339
26,Loja 1,2024-11-22,173
28,Loja 4,2024-10-28,529
29,Loja 5,2024-09-09,534
58,Loja 6,2024-10-12,380
56,Loja 6,2024-11-06,69
13,Loja 2,2024-10-05,150
45,Loja 6,2024-10-19,400
48,Loja 2,2024-09-23,163
34,Loja 5,2024-12-11,112
18,Loja 2,2024-12-11,122
38,Loja 4,2024-09-11,340
13,Loja 4,2024-12-03,204
43,Loja 5,2024-10-27,204
16,Loja 6,2024-10-22,400
53,Loja 6,2024-12-08,374
48,Loja 4,2024-12-12,116
41,Loja 2,2024-10-27,365
56,Loja 3,2024-12-24,82
41,Loja 3,2024-12-31,251
14,Loja 1,2024-11-18,64
7,Loja 6,2024-10-25,389
42,Loja 3,2024-11-09,169
44,Loja 3,2024-12-15,83
8,Loja 5,2024-12-21,106
41,Loja 6,2024-09-30,284
58,Loja 6,2024-11-21,506
14,Loja 1,2024-12-09,121
41,Loja 2,2024-09-25,469
13,Loja 3,2024-09-08,160
60,Loja 6,2024-09-22,229
29,Loja 5,2024-10-23,996
52,Loja 6,2024-12-23,679
15,Loja 2,2024-10-02,347
11,Loja 1,2024-09-28,67
56,Loja 3,2024-12-13,80
24,Loja 5,2024-10-24,689
20,Loja 3,2024-12-02,1122
26,Loja 4,2024-12-26,399
18,Loja 1,2024-12-20,144
58,Loja 2,2024-12-06,675
30,Loja 4,2024-11-16,297
22,Loja 1,2024-12-02,23
49,Loja 4,2024-12-19,285
45,Loja 4,2024-10-17,122
34,Loja 1,2024-12-21,98
26,Loja 3,2024-11-14,291
52,Loja 5,2024-10-04,232
21,Loja 1,2024-10-06,276
30,Loja 1,2024-10-24,622
6,Loja 2,2024-11-11,272
15,Loja 6,2024-09-22,467
43,Loja 2,2024-10-30,159
46,Loja 4,2024-10-15,237
7,Loja 4,2024-12-21,152
16,Loja 3,2024-11-26,185
37,Loja 1,2024-10-05,67
49,Loja 6,2024-09-09,534
20,Loja 4,2024-10-12,240
2,Loja 6,2024-09-06,529
30,Loja 2,2024-09-25,650
15,Loja 1,2024-10-01,194
16,Loja 5,2024-09-16,261
49,Loja 2,2024-10-31,129
28,Loja 3,2024-09-28,155
42,Loja 2,2024-12-19,260
18,Loja 4,2024-09-13,293
59,Loja 3,2024-09-03,365
18,Loja 1,2024-09-14,501
16,Loja 6,2024-11-27,330
48,Loja 1,2024-11-23,217
14,Loja 6,2024-12-17,252
35,Loja 6,2024-10-25,36
44,Loja 1,2024-10-18,236
46,Loja 2,2024-12-03,148
43,Loja 2,2024-10-18,153
23,Loja 3,2024-10-09,513
9,Loja 1,2024-10-22,73
6,Loja 3,2024-11-16,392
56,Loja 6,2024-09-30,109
43,Loja 4,2024-09-24,292
50,Loja 5,2024-11-09,120
30,Loja 3,2024-11-07,806
35,Loja 2,2024-11-11,107
54,Loja 6,2024-09-05,469
38,Loja 6,2024-10-23,832
14,Loja 4,2024-09-06,122
6,Loja 3,2024-10-05,257
54,Loja 5,2024-09-15,459
19,Loja 6,2024-12-24,274
34,Loja 4,2024-11-11,470
43,Loja 4,2024-12-18,168
49,Loja 2,2024-09-11,134
38,Loja 5,2024-12-16,93
39,Loja 1,2024-11-19,348
22,Loja 6,2024-10-14,41
27,Loja 6,2024-10-11,304
14,Loja 1,2024-12-20,128
12,Loja 1,2024-10-23,476
10,Loja 1,2024-10-13,147
5,Loja 5,2024-12-04,199
56,Loja 5,2024-09-20,101
10,Loja 3,2024-09-27,540
54,Loja 5,2024-10-12,437
53,Loja 6,2024-10-25,260
45,Loja 5,2024-10-09,462
56,Loja 2,2024-09-01,151
16,Loja 6,2024-09-05,411
24,Loja 3,2024-12-30,54
48,Loja 6,2024-11-30,407
25,Loja 4,2024-11-30,48
21,Loja 5,2024-11-07,140
51,Loja 6,2024-10-11,112
60,Loja 3,2024-11-24,327
15,Loja 3,2024-10-13,447
24,Loja 2,2024-11-01,177
1,Loja 5,2024-12-29,77
48,Loja 2,2024-09-25,131
52,Loja 1,2024-12-23,193
13,Loja 4,2024-11-25,154
44,Loja 1,2024-10-25,234
33,Loja 6,2024-11-26,433
35,Loja 6,2024-10-30,41
42,Loja 1,2024-09-04,313
19,Loja 2,2024-11-12,235
48,Loja 1,2024-09-16,339
43,Loja 5,2024-09-05,286
52,Loja 4,2024-09-30,230
44,Loja 6,2024-09-05,334
51,Loja 5,2024-11-09,239
3,Loja 2,2024-11-05,31
33,Loja 6,2024-11-14,553
13,Loja 3,2024-10-20,212
25,Loja 5,2024-09-09,129
56,Loja 5,2024-12-28,18
56,Loja 6,2024-11-16,81
12,Loja 1,2024-12-26,289
4,Loja 4,2024-10-21,311
36,Loja 3,2024-12-01,451
40,Loja 1,2024-12-13,281
40,Loja 3,2024-09-25,602
59,Loja 1,2024-11-08,44
24,Loja 4,2024-10-05,306
46,Loja 5,2024-11-20,151
1,Loja 6,2024-11-11,133
51,Loja 1,2024-10-18,595
19,Loja 4,2024-10-13,206
40,Loja 3,2024-09-26,608
1,Loja 3,2024-11-09,32
20,Loja 1,2024-10-25,423
47,Loja 5,2024-11-14,353
16,Loja 1,2024-11-26,112
42,Loja 2,2024-10-01,523
20,Loja 5,2024-09-21,505
22,Loja 3,2024-09-24,218
48,Loja 2,2024-12-12,41
15,Loja 3,2024-09-05,431
50,Loja 4,2024-11-07,106
18,Loja 2,2024-10-06,256
36,Loja 1,2024-12-14,107
40,Loja 6,2024-09-08,86
23,Loja 1,2024-11-17,17
4,Loja 1,2024-11-12,199
31,Loja 5,2024-10-03,72
18,Loja 1,2024-11-19,269
3,Loja 4,2024-10-07,186
21,Loja 3,2024-12-17,129
13,Loja 6,2024-09-28,159
38,Loja 6,2024-09-07,464
24,Loja 2,2024-12-09,73
20,Loja 2,2024-10-15,900
9,Loja 2,2024-09-16,202
30,Loja 5,2024-10-20,449
46,Loja 1,2024-11-11,133
9,Loja 1,2024-11-27,92
31,Loja 5,2024-09-06,131
22,Loja 5,2024-10-18,177
57,Loja 3,2024-11-05,294
40,Loja 6,2024-11-09,58
20,Loja 4,2024-12-10,80
10,Loja 1,2024-11-25,41
41,Loja 5,2024-11-12,121
46,Loja 6,2024-10-01,1036
28,Loja 4,2024-11-05,493
16,Loja 2,2024-10-13,103
20,Loja 4,2024-10-27,201
8,Loja 3,2024-11-30,217
58,Loja 6,2024-12-29,156
56,Loja 3,2024-12-18,110
45,Loja 6,2024-11-04,328
33,Loja 2,2024-12-27,337
51,Loja 1,2024-09-10,406
46,Loja 4,2024-11-21,246
50,Loja 1,2024-10-03,202
25,Loja 6,2024-12-12,531
33,Loja 5,2024-11-13,52
16,Loja 4,2024-11-27,242
17,Loja 1,2024-10-31,352
31,Loja 2,2024-11-29,1310
32,Loja 1,2024-09-03,481
7,Loja 1,2024-09-30,116
36,Loja 1,2024-12-11,84
32,Loja 3,2024-10-16,198
10,Loja 6,2024-10-22,387
36,Loja 3,2024-11-10,425
14,Loja 6,2024-12-24,240
47,Loja 2,2024-10-18,708
28,Loja 5,2024-12-22,181
27,Loja 3,2024-11-09,218
9,Loja 6,2024-11-09,574
49,Loja 6,2024-10-12,938
24,Loja 6,2024-09-23,227
34,Loja 6,2024-12-10,433
38,Loja 2,2024-09-04,475
52,Loja 5,2024-10-03,215
46,Loja 5,2024-10-14,340
13,Loja 1,2024-12-29,94
45,Loja 5,2024-11-27,108
45,Loja 2,2024-12-06,317
46,Loja 1,2024-09-29,366
52,Loja 5,2024-09-29,217
34,Loja 3,2024-09-18,410
26,Loja 5,2024-12-10,192
53,Loja 1,2024-09-30,204
34,Loja 4,2024-10-23,282
23,Loja 5,2024-10-21,393
27,Loja 5,2024-12-30,341
8,Loja 5,2024-11-11,183
13,Loja 4,2024-10-23,194
3,Loja 1,2024-11-01,354
51,Loja 2,2024-09-25,381
40,Loja 3,2024-09-05,393
7,Loja 6,2024-11-01,435
4,Loja 4,2024-09-17,206
36,Loja 6,2024-09-16,153
16,Loja 3,2024-12-22,227
33,Loja 1,2024-11-15,143
39,Loja 4,2024-10-02,324
39,Loja 2,2024-11-05,38
53,Loja 5,2024-12-07,1478
43,Loja 3,2024-10-01,202
42,Loja 2,2024-09-04,164
6,Loja 2,2024-09-16,596
43,Loja 3,2024-09-25,170
37,Loja 4,2024-11-20,371
21,Loja 5,2024-10-07,334
1,Loja 6,2024-12-12,77
28,Loja 4,2024-12-05,478
56,Loja 4,2024-11-22,907
35,Loja 3,2024-09-20,403
20,Loja 6,2024-12-15,167
20,Loja 1,2024-12-26,302
42,Loja 3,2024-09-07,237
6,Loja 5,2024-09-25,90
48,Loja 1,2024-09-17,309
52,Loja 3,2024-11-27,213
29,Loja 1,2024-09-19,111
57,Loja 2,2024-09-12,438
37,Loja 5,2024-12-25,354
29,Loja 5,2024-10-27,1049
15,Loja 4,2024-09-13,335
1,Loja 2,2024-10-07,252
54,Loja 2,2024-11-15,77
21,Loja 2,2024-12-10,560
57,Loja 3,2024-10-26,208
29,Loja 2,2024-10-22,66
24,Loja 6,2024-11-18,114
31,Loja 1,2024-11-20,159
22,Loja 2,2024-12-04,276
52,Loja 1,2024-10-03,334
27,Loja 6,2024-11-25,271
19,Loja 3,2024-11-02,325
44,Loja 1,2024-10-03,149
26,Loja 4,2024-10-11,194
58,Loja 4,2024-12-20,1050
17,Loja 1,2024-12-04,512
3,Loja 4,2024-12-02,51
14,Loja 1,2024-10-31,47
20,Loja 6,2024-12-06,83
12,Loja 3,2024-12-28,150
32,Loja 3,2024-11-01,139
57,Loja 4,2024-12-21,262
26,Loja 6,2024-09-26,437
58,Loja 3,2024-11-07,108
26,Loja 5,2024-12-13,196
60,Loja 1,2024-11-05,179
14,Loja 6,2024-09-10,309
46,Loja 5,2024-12-29,50
47,Loja 2,2024-12-12,526
23,Loja 4,2024-11-25,530
51,Loja 5,2024-12-31,123
8,Loja 6,2024-09-07,426
32,Loja 4,2024-11-14,87
44,Loja 1,2024-10-04,162
35,Loja 1,2024-11-06,960
32,Loja 2,2024-09-29,83
22,Loja 4,2024-09-30,247
20,Loja 5,2024-10-22,470
57,Loja 4,2024-12-29,296
56,Loja 6,2024-09-07,208
16,Loja 6,2024-09-03,379
11,Loja 6,2024-12-14,21
29,Loja 5,2024-10-25,1266
2,Loja 1,2024-12-21,1059
20,Loja 5,2024-11-02,378
24,Loja 4,2024-10-25,199
56,Loja 6,2024-12-10,115
27,Loja 2,2024-09-29,336
27,Loja 3,2024-12-29,444
6,Loja 6,2024-10-17,112
60,Loja 4,2024-09-14,529
24,Loja 4,2024-12-29,213
46,Loja 2,2024-12-12,128
24,Loja 1,2024-10-18,182
53,Loja 2,2024-09-07,250
40,Loja 1,2024-10-24,353
55,Loja 4,2024-09-24,682
26,Loja 1,2024-12-30,205
5,Loja 3,2024-10-15,236
7,Loja 6,2024-10-01,443
4,Loja 4,2024-09-18,234
17,Loja 5,2024-11-17,383
51,Loja 2,2024-10-18,616
49,Loja 2,2024-10-22,94
14,Loja 3,2024-12-07,488
1,Loja 1,2024-11-13,150
3,Loja 3,2024-10-17,1242
37,Loja 5,2024-11-16,691
42,Loja 6,2024-11-04,145
38,Loja 1,2024-09-29,87
13,Loja 6,2024-12-26,92
3,Loja 2,2024-09-03,131
54,Loja 6,2024-12-07,299
40,Loja 2,2024-12-03,78
24,Loja 3,2024-09-18,119
33,Loja 3,2024-09-22,253
58,Loja 3,2024-12-14,67
58,Loja 4,2024-12-26,1436
53,Loja 2,2024-10-28,82
35,Loja 4,2024-09-17,168
59,Loja 1,2024-10-30,36
37,Loja 2,2024-12-09,74
28,Loja 4,2024-11-19,377
11,Loja 1,2024-09-13,111
13,Loja 2,2024-10-07,118
30,Loja 6,2024-09-16,91
13,Loja 5,2024-10-28,304
49,Loja 2,2024-09-05,156
3,Loja 3,2024-11-07,1042
53,Loja 4,2024-11-20,40
38,Loja 4,2024-10-30,312
48,Loja 2,2024-10-24,153
32,Loja 1,2024-12-08,491
31,Loja 3,2024-12-31,761
6,Loja 6,2024-09-25,129
37,Loja 6,2024-11-06,191
7,Loja 1,2024-12-16,28
14,Loja 5,2024-10-23,331
54,Loja 4,2024-10-20,316
7,Loja 1,2024-09-20,224
2,Loja 2,2024-11-03,85
46,Loja 5,2024-10-15,362
57,Loja 4,2024-11-29,403
58,Loja 3,2024-09-19,331
26,Loja 6,2024-12-01,632
32,Loja 4,2024-11-06,87
56,Loja 4,2024-10-29,926
49,Loja 6,2024-09-13,590
24,Loja 2,2024-09-09,325
17,Loja 1,2024-12-28,390
37,Loja 4,2024-12-28,185
49,Loja 1,2024-11-10,335
47,Loja 5,2024-12-21,94
25,Loja 3,2024-12-05,218
56,Loja 5,2024-09-28,73
39,Loja 5,2024-09-30,229
28,Loja 3,2024-12-23,209
43,Loja 6,2024-11-01,165
3,Loja 5,2024-12-20,183
37,Loja 2,2024-10-23,204
1,Loja 3,2024-09-14,119
22,Loja 2,2024-10-01,313
28,Loja 3,2024-11-13,228
2,Loja 5,2024-10-26,363
59,Loja 5,2024-09-03,315
49,Loja 5,2024-09-08,228
14,Loja 3,2024-09-08,478
1,Loja 2,2024-10-26,324
51,Loja 3,2024-12-11,824
57,Loja 5,2024-11-22,540
2,Loja 5,2024-09-16,311
46,Loja 5,2024-11-09,250
55,Loja 3,2024-11-10,109
50,Loja 1,2024-12-14,174
43,Loja 4,2024-10-24,265
4,Loja 4,2024-09-03,260
8,Loja 4,2024-11-16,414
30,Loja 6,2024-10-12,79
31,Loja 2,2024-09-26,1071
28,Loja 4,2024-11-14,516
60,Loja 3,2024-12-22,315
31,Loja 5,2024-10-11,114
4,Loja 5,2024-12-16,239
52,Loja 4,2024-12-23,316
4,Loja 4,2024-11-13,253
32,Loja 5,2024-11-15,991
43,Loja 3,2024-09-20,211
47,Loja 6,2024-12-25,179
45,Loja 1,2024-11-09,669
51,Loja 3,2024-11-22,1559
51,Loja 6,2024-09-28,224
24,Loja 1,2024-12-25,179
48,Loja 6,2024-10-28,289
43,Loja 4,2024-10-15,294
47,Loja 6,2024-12-02,281
4,Loja 4,2024-09-29,299
43,Loja 3,2024-11-07,92
44,Loja 1,2024-12-29,104
13,Loja 5,2024-09-18,322
56,Loja 6,2024-11-26,109
32,Loja 5,2024-11-22,1132
14,Loja 1,2024-12-12,95
22,Loja 2,2024-11-04,230
12,Loja 5,2024-09-14,192
25,Loja 6,2024-11-17,172
49,Loja 5,2024-09-14,149
52,Loja 2,2024-11-20,296
49,Loja 2,2024-09-16,125
44,Loja 4,2024-09-12,280
24,Loja 5,2024-11-23,418
12,Loja 5,2024-11-16,70
5,Loja 6,2024-09-26,252
28,Loja 6,2024-10-07,259
38,Loja 2,2024-10-18,246
51,Loja 4,2024-11-17,122
39,Loja 1,2024-11-30,401
37,Loja 2,2024-10-15,241
57,Loja 2,2024-10-15,445
32,Loja 2,2024-09-15,165
7,Loja 1,2024-09-19,236
45,Loja 5,2024-12-29,191
15,Loja 6,2024-10-02,559
32,Loja 5,2024-09-15,466
4,Loja 6,2024-09-20,254
12,Loja 3,2024-12-19,108
8,Loja 6,2024-09-05,378
5,Loja 3,2024-10-25,291
7,Loja 3,2024-10-22,410
38,Loja 5,2024-12-10,109
29,Loja 1,2024-12-05,201
57,Loja 5,2024-12-29,580
5,Loja 5,2024-09-30,404
46,Loja 6,2024-11-26,2050
7,Loja 2,2024-12-02,622
56,Loja 2,2024-11-02,245
15,Loja 5,2024-10-29,227
57,Loja 6,2024-12-04,161
9,Loja 3,2024-09-03,199
59,Loja 1,2024-10-26,33
10,Loja 1,2024-11-20,50
22,Loja 1,2024-11-16,30
43,Loja 2,2024-10-31,140
29,Loja 5,2024-11-28,559
58,Loja 5,2024-09-01,334
55,Loja 4,2024-10-13,446
21,Loja 4,2024-11-26,322
2,Loja 6,2024-11-09,391
5,Loja 2,2024-10-30,83
53,Loja 6,2024-12-27,852
8,Loja 2,2024-09-03,300
34,Loja 5,2024-09-15,170
7,Loja 1,2024-10-22,77
